,IP Address,Location,Reliability
0,8.8.8.8,"Mountain View, California",100 %
1,9.9.9.9,"Berkeley, California",100 %
2,4.0.0.53,"Berkeley, California",100 %
3,2001:4b8:3:201::902,"Berkeley, California",100 %
4,64.233.207.16,"Aurora, Illinois",98 %
5,199.85.126.10,"Aurora, Illinois",98 %
6,2606:4700:4700::1111,"Aurora, Illinois",98 %
7,2001:4860:4860::8844,"Aurora, Illinois",98 %
8,149.112.112.112,"Aurora, Illinois",98 %
9,209.244.0.3,"Aurora, Illinois",98 %
10,8.26.56.26,"Aurora, Illinois",98 %
11,64.6.65.6,"Aurora, Illinois",98 %
12,162.243.19.47,"Aurora, Illinois",98 %
13,2a0d:2a00:1::2,"Aurora, Illinois",98 %
14,45.33.97.5,"Aurora, Illinois",98 %
15,129.250.35.250,"Aurora, Illinois",98 %
16,129.250.35.251,"Aurora, Illinois",98 %
17,156.154.70.1,"Aurora, Illinois",98 %
18,156.154.71.1,"Aurora, Illinois",98 %
19,199.2.252.10,"Aurora, Illinois",98 %
20,204.97.212.10,"Aurora, Illinois",98 %
21,204.117.214.10,"Aurora, Illinois",98 %
22,204.194.232.200,"Aurora, Illinois",98 %
23,204.194.234.200,"Aurora, Illinois",98 %
24,205.147.105.236,"Aurora, Illinois",98 %
25,208.67.220.222,"Aurora, Illinois",98 %
26,165.87.13.129,"Aurora, Illinois",98 %
27,165.87.201.244,"Aurora, Illinois",98 %
28,4.2.2.1,"Aurora, Illinois",98 %
29,8.0.6.0,"Aurora, Illinois",98 %
30,8.0.7.0,"Aurora, Illinois",98 %
31,149.112.112.12,"Aurora, Illinois",98 %
32,192.221.134.0,"Aurora, Illinois",98 %
33,192.221.135.0,"Aurora, Illinois",98 %
34,208.67.222.220,"Aurora, Illinois",98 %
35,209.244.0.53,"Aurora, Illinois",98 %
36,216.146.35.35,"Aurora, Illinois",98 %
37,209.244.0.4,"Aurora, Illinois",98 %
38,2620:74:1b::1:1,"Aurora, Illinois",98 %
39,2620:0:ccd::2,"Aurora, Illinois",98 %
40,2620:0:ccc::2,"Aurora, Illinois",98 %
41,2001:470:20::2,"Aurora, Illinois",98 %
42,66.28.0.61,"Aurora, Illinois",98 %
43,4.2.2.2,"Aurora, Illinois",98 %
44,4.2.2.6,"Aurora, Illinois",98 %
45,198.82.247.34,"Aurora, Illinois",98 %
46,199.27.185.149,"Aurora, Illinois",98 %
47,4.2.2.4,"Aurora, Illinois",98 %
48,45.90.30.193,"Aurora, Illinois",98 %
49,64.111.16.3,"Aurora, Illinois",98 %
50,149.112.112.11,"Aurora, Illinois",98 %
51,205.171.2.65,"Aurora, Illinois",98 %
52,45.90.28.165,"Aurora, Illinois",98 %
53,45.90.30.226,"Aurora, Illinois",98 %
54,66.155.216.122,"Aurora, Illinois",98 %
55,66.251.35.130,"Aurora, Illinois",98 %
56,9.9.9.12,"Aurora, Illinois",98 %
57,149.112.112.9,"Aurora, Illinois",98 %
58,149.112.112.13,"Aurora, Illinois",98 %
59,12.127.16.67,"Aurora, Illinois",98 %
60,12.127.17.71,"Aurora, Illinois",98 %
61,2620:119:35::35,"Aurora, Illinois",98 %
62,2620:119:53::53,"Aurora, Illinois",98 %
63,2606:4700:4700::1001,"Aurora, Illinois",98 %
64,141.154.0.68,"Aurora, Illinois",98 %
65,2001:418:3ff::1:53,"Aurora, Illinois",98 %
66,2001:418:3ff::53,"Aurora, Illinois",98 %
67,12.127.17.72,"Aurora, Illinois",98 %
68,151.196.0.37,"Aurora, Illinois",98 %
69,151.196.0.38,"Aurora, Illinois",98 %
70,151.197.0.37,"Aurora, Illinois",98 %
71,151.197.0.38,"Aurora, Illinois",98 %
72,151.198.0.38,"Aurora, Illinois",98 %
73,151.198.0.39,"Aurora, Illinois",98 %
74,151.199.0.39,"Aurora, Illinois",98 %
75,151.201.0.38,"Aurora, Illinois",98 %
76,151.201.0.39,"Aurora, Illinois",98 %
77,151.202.0.84,"Aurora, Illinois",98 %
78,151.202.0.85,"Aurora, Illinois",98 %
79,151.203.0.85,"Aurora, Illinois",98 %
80,128.238.2.38,"Aurora, Illinois",98 %
81,156.154.70.22,"Aurora, Illinois",98 %
82,166.102.165.11,"Aurora, Illinois",98 %
83,166.102.165.13,"Aurora, Illinois",98 %
84,166.102.165.32,"Aurora, Illinois",98 %
85,192.133.129.2,"Aurora, Illinois",98 %
86,2610:a1:1018::1,"Aurora, Illinois",98 %
87,2610:a1:1019::1,"Aurora, Illinois",98 %
88,205.171.2.25,"Aurora, Illinois",98 %
89,205.214.45.10,"Aurora, Illinois",98 %
90,209.51.161.14,"Aurora, Illinois",98 %
91,208.72.160.67,"Aurora, Illinois",98 %
92,156.154.71.25,"Aurora, Illinois",98 %
93,198.153.192.1,"Aurora, Illinois",98 %
94,216.52.65.33,"Aurora, Illinois",98 %
95,199.45.32.43,"Aurora, Illinois",98 %
