,Ticker,Co Web Address
0,WMB US Equity,co.williams.com
1,NEXOY US Equity,company.nexon.co.jp
2,ED US Equity,coned.com
3,SRTTY US Equity,corp.zozo.com
4,DISCA US Equity,corporate.discovery.com
5,DISCB US Equity,corporate.discovery.com
6,DISCK US Equity,corporate.discovery.com
7,XOM US Equity,corporate.exxonmobil.com
8,MCD US Equity,corporate.mcdonalds.com
9,GLNCY US Equity,glencore.com
10,KMTUY US Equity,home.komatsu/en
11,NFLX US Equity,https://ir.netflix.com/
12,TWTR US Equity,investor.twitterinc.com
13,YMM US Equity,ir.fulltruckalliance.com/
14,JD US Equity,ir.jd.com
15,PDYPY US Equity,
16,RKT US Equity,
17,ETHE US Equity,
18,GBTC US Equity,
19,FWONK US Equity,
20,FWONB US Equity,
21,RLLCF US Equity,
22,LCID US Equity,
23,OZON US Equity,
24,NTES US Equity,netease.gcs-web.com
25,SIEGY US Equity,new.siemens.com
26,PUMSY US Equity,puma.com
27,SNA US Equity,store.snapon.com
28,DIS US Equity,thewaltdisneycompany.com
29,V US Equity,usa.visa.com
30,HMC US Equity,world.honda.com
31,TXG US Equity,www.10xgenomics.com
32,DASTY US Equity,www.3ds.com
33,TGOPY US Equity,www.3i.com
34,MMM US Equity,www.3m.com
35,FITB US Equity,www.53.com
36,SVNDY US Equity,www.7andi.com
37,AAL US Equity,www.aa.com
38,BUD US Equity,www.ab-inbev.com
39,ABB US Equity,www.abb.com
40,ABT US Equity,www.abbott.com
41,ABBV US Equity,www.abbvie.com
42,GOOGL US Equity,www.abc.xyz
43,GOOG US Equity,www.abc.xyz
44,ACGBY US Equity,www.abchina.com
45,ASBFY US Equity,www.abf.co.uk
46,ABMD US Equity,www.abiomed.com
47,AAVMY US Equity,www.abnamro.com
48,CPNG US Equity,www.aboutcoupang.com
49,ACN US Equity,www.accenture.com
50,ATVI US Equity,www.activision.com
51,ADEVY US Equity,www.adevinta.com
52,ADDYY US Equity,www.adidas-group.com
53,ADM US Equity,www.adm.com
54,AMIGY US Equity,www.admiralgroup.co.uk
55,ADBE US Equity,www.adobe.com
56,ADP US Equity,www.adp.com
57,ARRPY US Equity,www.adp.fr
58,AAP US Equity,www.advanceautoparts.com
59,ATEYY US Equity,www.advantest.com
60,ADYEY US Equity,www.adyen.com
61,CICHY US Equity,www.ae.ccb.com
62,AEG US Equity,www.aegon.com
63,ANYYY US Equity,www.aena.es
64,AONNY US Equity,www.aeon.info
65,AEP US Equity,www.aep.com
66,AES US Equity,www.aes.com
67,AFRM US Equity,www.affirm.com
68,AFG US Equity,www.afginc.com
69,AFL US Equity,www.aflac.com
70,AFTPY US Equity,www.afterpay.com
71,ASGLY US Equity,www.agc.com
72,AGCO US Equity,www.agcocorp.com
73,A US Equity,www.agilent.com
74,AGL US Equity,www.agilonhealth.com
75,AMH US Equity,www.ah4r.com
76,ADRNY US Equity,www.aholddelhaize.com
77,AAGIY US Equity,www.aia.com.hk
78,AIG US Equity,www.aig.com
79,ABNB US Equity,www.airbnb.com
80,EADSY US Equity,www.airbus.com
81,AIRYY US Equity,www.airchina.com.cn
82,AIQUY US Equity,www.airliquide.com
83,AIPUY US Equity,www.airportthai.co.th
84,APD US Equity,www.airproducts.com
85,AVIFY US Equity,www.ais.co.th
86,ASEKY US Equity,www.aisin.com
87,AJG US Equity,www.ajg.com
88,AJINY US Equity,www.ajinomoto.co.jp
89,AKAM US Equity,www.akamai.com
90,AKZOY US Equity,www.akzonobel.com
91,ALB US Equity,www.albemarle.com
92,ACI US Equity,www.albertsonscompanies.com
93,ALFVY US Equity,www.alfalaval.in
94,BABA US Equity,www.alibabagroup.com
95,ALGN US Equity,www.aligntech.com
96,ALBBY US Equity,www.alihealth.cn
97,ALLE US Equity,www.allegion.com
98,LNT US Equity,www.alliantenergy.com
99,ALIZY US Equity,www.allianz.com
100,ALL US Equity,www.allstate.com
101,ALLY US Equity,www.ally.com
102,ALNY US Equity,www.alnylam.com
103,ALSMY US Equity,www.alstom.com
104,ATUS US Equity,www.alticeusa.com
105,MO US Equity,www.altria.com
106,RNECY US Equity,www.am.renesas.com
107,AMADY US Equity,www.amadeus.com
108,AMZN US Equity,www.amazon.com
109,ABEV US Equity,www.ambev.com.br/investidores
110,AMCR US Equity,www.amcor.com
111,AMC US Equity,www.amctheatres.com
112,AMD US Equity,www.amd.com
113,UHAL US Equity,www.amerco.com
114,AEE US Equity,www.ameren.com
115,AMOV US Equity,www.americamovil.com
116,AMX US Equity,www.americamovil.com
117,AXP US Equity,www.americanexpress.com
118,AMT US Equity,www.americantower.com
119,AMP US Equity,www.ameriprise.com
120,ABC US Equity,www.amerisourcebergen.com
121,AME US Equity,www.ametekdfs.com
122,AMGN US Equity,www.amgen.com
123,APH US Equity,www.amphenol-tcs.com
124,AWK US Equity,www.amwater.com
125,ALNPY US Equity,www.ana.co.jp
126,ADI US Equity,www.analog.com
127,NGLOY US Equity,www.angloamerican.com
128,ANGPY US Equity,www.angloamericanplatinum.com
129,NLY US Equity,www.annaly.com
130,ANSS US Equity,www.ansys.com
131,ANTM US Equity,www.antheminc.com
132,ANZBY US Equity,www.anz.co.nz
133,AON US Equity,www.aon.com
134,AOS US Equity,www.aosmith.com
135,APO US Equity,www.apollo.com
136,AAPL US Equity,www.apple.com
137,AMAT US Equity,www.appliedmaterials.com
138,APP US Equity,www.applovin.com
139,APTV US Equity,www.aptiv.com
140,MT US Equity,www.arcelormittal.com
141,ACGL US Equity,www.archcapgroup.com
142,ARE US Equity,www.are.com
143,ARES US Equity,www.aresmgmt.com
144,ARGX US Equity,www.argenx.com
145,ANET US Equity,www.arista.com
146,ARKAY US Equity,www.arkemagroup.com
147,AHKSY US Equity,www.asahi-kasei.co.jp
148,ASAN US Equity,www.asana.com
149,ASX US Equity,www.aseglobal.com
